"treefilename","strength","bias","birth","death"
"tree340.tre",0.355682739987969,"FP",2,1
"tree341.tre",-0.187618769472465,"FP",2,1
"tree342.tre",0.285034363856539,"FP",2,1
"tree343.tre",-0.811608636053279,"FP",2,1
"tree344.tre",-0.664268432650715,"FP",2,1
"tree345.tre",-1.22059402731247,"FP",2,1
"tree346.tre",0.059973624534905,"FP",2,1
"tree347.tre",-1.4617683282122,"FP",2,1
"tree348.tre",-0.368833897868171,"FP",2,1
"tree349.tre",-1.08728126774076,"FP",2,1
"tree350.tre",-0.633574743755162,"FP",2,1
"tree351.tre",-0.769175304798409,"FP",2,1
"tree352.tre",0.109137947089039,"FP",2,1
"tree353.tre",-0.462019562022761,"FP",2,1
"tree354.tre",-0.222154731513001,"FP",2,1
"tree355.tre",-0.788402337697335,"FP",2,1
"tree356.tre",-1.31957849930041,"FP",2,1
"tree357.tre",-1.25478146167006,"FP",2,1
"tree358.tre",-1.42263530089986,"FP",2,1
"tree359.tre",-1.0611504628323,"FP",2,1
"tree360.tre",-0.684091931674629,"FP",2,1
"tree361.tre",-0.971442377544008,"FP",2,1
"tree362.tre",0.726176097756252,"FP",2,1
"tree363.tre",-0.505866583902389,"FP",2,1
"tree364.tre",0.245004458935,"FP",2,1
"tree365.tre",0.929188378737308,"FP",2,1
"tree366.tre",-0.689711898216046,"FP",2,1
"tree367.tre",-0.357681677909568,"FP",2,1
"tree368.tre",0.666039173607714,"FP",2,1
"tree369.tre",-0.600806468049996,"FP",2,1
"tree370.tre",-0.234646437224001,"FP",2,1
"tree371.tre",-0.533648128970526,"FP",2,1
"tree372.tre",-0.17157724336721,"FP",2,1
"tree373.tre",0.787336686858907,"FP",2,1
"tree374.tre",-0.816977758426219,"FP",2,1
"tree375.tre",0.998242200235836,"FP",2,1
"tree376.tre",-1.01267012045719,"FP",2,1
"tree377.tre",0.166640783660114,"FP",2,1
"tree378.tre",0.665470049367286,"FP",2,1
"tree379.tre",-0.832610620767809,"FP",2,1
"tree380.tre",-0.624099870095961,"FP",2,1
"tree381.tre",0.753798002493568,"FP",2,1
"tree382.tre",-0.670498348539695,"FP",2,1
"tree383.tre",0.222354254452512,"FP",2,1
"tree384.tre",-0.32814540702384,"FP",2,1
"tree385.tre",-0.311187953688204,"FP",2,1
"tree386.tre",-1.12017928133719,"FP",2,1
"tree387.tre",-0.587715503992513,"FP",2,1
"tree388.tre",-0.811505677178502,"FP",2,1
"tree389.tre",-0.432862864458002,"FP",2,1
"tree390.tre",0.614153688889928,"FP",2,1
"tree391.tre",0.353819709504023,"FP",2,1
"tree392.tre",-0.631621203850955,"FP",2,1
"tree393.tre",0.509130607475527,"FP",2,1
"tree394.tre",-0.844923021271825,"FP",2,1
"tree395.tre",-0.412468658527359,"FP",2,1
"tree396.tre",-0.058121868991293,"FP",2,1
"tree397.tre",0.290840003523044,"FP",2,1
"tree398.tre",0.65164112392813,"FP",2,1
"tree399.tre",-0.138070212327875,"FP",2,1
