"treefilename","psi","bias","birth","death","ntaxa"
"tree366.tre",-0.547504834015854,"FP",3.35869484180585,1,66
"tree367.tre",-0.382109959959053,"FP",2.65152590796351,1,130
"tree368.tre",0.128134450293146,"FP",3.85417570276186,1,157
"tree369.tre",-0.0348704614443704,"FP",4.0402268782258,1,179
"tree370.tre",0.350157689768821,"FP",1.18629130248446,1,90
"tree371.tre",-0.44106030871626,"FP",4.26721849874593,1,92
"tree372.tre",0.152350600925274,"FP",1.28934127592947,1,105
"tree373.tre",-0.793494341545738,"FP",4.65847531477921,1,190
"tree374.tre",-0.366925348993391,"FP",2.36702108252794,1,122
"tree375.tre",0.975855665979907,"FP",1.30647557741031,1,197
"tree376.tre",0.300025611883029,"FP",3.35870148593094,1,191
"tree377.tre",-1.02997594722547,"FP",2.33932985740248,1,57
"tree378.tre",0.191488607320935,"FP",4.52550630301703,1,97
"tree379.tre",0.69676717708353,"FP",4.46478162568528,1,171
"tree380.tre",-1.36909968021791,"FP",3.30695766350254,1,199
"tree381.tre",-0.534393018810079,"FP",3.4054783168016,1,129
"tree382.tre",-1.24114663200453,"FP",1.78638063324615,1,165
"tree383.tre",-0.558437768253498,"FP",1.77201055567712,1,129
"tree384.tre",0.354457163717598,"FP",4.76079502650537,1,197
"tree385.tre",-0.163630222436041,"FP",4.27415005466901,1,156
"tree386.tre",0.137071411241777,"FP",2.48480562423356,1,181
"tree387.tre",0.213215564959683,"FP",3.44026685229037,1,137
"tree388.tre",-1.43771281675436,"FP",1.29518995024264,1,134
"tree389.tre",-0.667476802249439,"FP",3.46802191531751,1,156
"tree390.tre",-0.421807581209578,"FP",2.08245491993148,1,136
"tree391.tre",-0.946058406610973,"FP",3.57926662026439,1,99
"tree392.tre",-0.970984980580397,"FP",2.56123275912833,1,93
"tree393.tre",-0.00118881033267826,"FP",4.42778510767967,1,100
"tree394.tre",-0.0838060639798641,"FP",4.64572302310262,1,103
"tree395.tre",0.215695590246469,"FP",2.20419025982264,1,151
"tree396.tre",0.994025954511017,"FP",4.10882116986904,1,150
"tree397.tre",0.620344018330798,"FP",3.53890000442043,1,89
"tree398.tre",-1.08943750534672,"FP",3.50822078720666,1,139
"tree399.tre",-0.59147979633417,"FP",4.66253193225712,1,132
"tree400.tre",-0.492573583382182,"FP",4.39739727580454,1,91
"tree401.tre",0.622781036887318,"FP",4.83660512403585,1,115
"tree402.tre",-1.49225569423288,"FP",2.18552263919264,1,97
"tree403.tre",-1.44023969222326,"FP",2.02931519923732,1,171
"tree404.tre",-0.335238757892512,"FP",1.55488646794111,1,116
"tree405.tre",-0.193275013938546,"FP",3.02023733789101,1,154
"tree406.tre",0.397086724638939,"FP",4.32267186597455,1,94
"tree407.tre",-0.496956107439473,"FP",4.93380821018945,1,156
"tree408.tre",0.914730482269078,"FP",1.37992882842664,1,101
"tree409.tre",0.917143477941863,"FP",3.45039615016431,1,164
"tree410.tre",0.0282869682414457,"FP",2.74420050210319,1,166
"tree411.tre",0.0517652902053669,"FP",4.73204030278139,1,72
"tree412.tre",0.00609830627217889,"FP",1.77802222308237,1,137
"tree413.tre",-1.0593045570422,"FP",3.13053244145121,1,188
"tree414.tre",-1.03083488508128,"FP",2.20988852647133,1,98
"tree415.tre",-0.36804057226982,"FP",3.3680533249164,1,61
"tree416.tre",-1.13638640881982,"FP",3.11013079679105,1,188
"tree417.tre",0.228580658091232,"FP",4.39143768355716,1,74
"tree418.tre",0.759955392801203,"FP",2.67671506381594,1,149
"tree419.tre",-0.0277076408965513,"FP",4.03778455432039,1,144
"tree420.tre",-0.316576486569829,"FP",3.51218675237615,1,61
"tree421.tre",-0.999516881187446,"FP",3.8129533495754,1,145
"tree422.tre",0.659461004775949,"FP",3.50149615169503,1,192
"tree423.tre",-0.945827280287631,"FP",3.78828957721125,1,110
